P04637 P17844 P14735 P23511 Q92963
Q5T9A4 Q05397 Q5TCQ9 Q9NRW1 Q71U36
Q9ULI0 Q6PIW4 O15021 O15067 Q7L7X3
Q8WXF7 Q9UPW0 P25205 Q9UJV8 P04350
Q9P241 Q9H334 P33993 O43502 P68371
Q9UIF9 Q9BVA6 P07948 Q9H0T7 P07437
Q9NPZ5 P55317 Q8IVH8 P61019 Q9UGU0
Q9BUT1 P55318 Q96QZ7 Q15771 Q9H2K8
O94766 Q12948 P49137 P63000 Q03518
Q8NFC6 Q16676 P27448 P11233 Q9UL54
P54132 Q12947 Q5TCX8 O75771 Q9UHD2
O14965 Q08050 P49736 P61026 Q14186
Q96GD4 Q12778 P33992 O14966 Q9GZN2
Q8WY36 P06241 P08235 P51151 P68366
Q14692 P11362 Q96JY0 O75943 Q9NRH3
P46100 P22607 Q16644 Q92878 Q15583
Q13705 P11413 Q14566 Q92698 P10827
P51813 Q12952 Q9UJA3 P11234 Q03519
P33076 Q12946 Q9NU22 Q9Y272 Q16594
O60566 P55316 Q02080 P61106 Q587J7
Q06187 P04150 Q14814 P62820 P55072
O43683 Q9Y261 P29376 Q9ULC3 P10828
P15056 Q12950 Q9P0L2 P51157 Q8NDG6
Q9NSY1 Q12951 Q7KZI7 Q13637 P35590
Q8TDC3 Q01167 Q96L34 P20336 Q02763
Q8IWQ3 O43524 P51608 Q86YS6 Q9UKE5
P11586 P55040 Q6P0Q8 P51148 Q00059
Q13873 P04406 P33991 P15918 Q14188
Q14781 P32455 Q9NXL9 Q6IQ22 Q9NWX6
P21127 Q9H0R5 Q9Y2H9 Q9ULW5 O94842
Q9BWU1 P32456 P08183 P20339 Q17RP2
P06493 Q49A26 Q02078 P20340 O94900
Q00534 Q96PP9 O00470 Q9H0N0 Q96KB5
P50750 Q96PP8 P50222 P61006 O14656
P60953 P38405 Q8IXI2 P10114 O43615
Q9NYV4 Q03113 P08581 Q9Y3L5 Q86UE8
P50613 P30679 P40925 P62491 P31314
P07199 P63096 P21439 O00194 O14657
Q02224 P11488 Q06413 Q9H082 Q8WZ42
Q99459 A8MTJ3 O14770 Q96S21 Q9Y2W1
O94921 P19086 Q8IWI9 Q9NP72 Q8N2E6
P24941 Q9NVN8 Q9H2W2 Q9BZG1 P11388
Q00535 Q9HCN4 Q8IWA4 Q15286 Q02880
P49336 Q9H9Y4 Q8TDZ2 P20338 Q5JU69
Q96G23 Q8WTQ7 P28482 P51149 Q6ZSZ6
Q12873 P29992 P45983 Q3YEC7 Q63HK5
Q14839 O95837 Q15759 P15153 Q9BXA6
Q14004 P09471 Q96T58 Q14088 Q5TCY1
O14647 P50148 P53778 Q6ZRP7 Q6IQ55
O14757 P63092 Q9HCE1 P57735 P33981
Q9UQ88 P19087 O94851 Q13636 O95922
O96017 P36915 Q7RTP6 Q9NP90 Q6EMB2
Q96RK0 P11021 Q8IXI1 Q06609 A6PVC2
P51793 P08754 P53779 P04049 Q16881
P51798 Q5JWF2 P43246 P62834 Q86VQ6
P49761 Q9BVP2 Q92887 O14807 Q14679
O14646 Q9UHW5 O15438 P01111 P29597
Q8TD26 Q969Y2 O95255 P51159 O75643
Q9HCK8 A4D1E9 P27361 Q9UBG7 P17480
Q3L8U1 Q14344 P45984 P43351 Q9BWV7
P51790 P04899 O15264 P62826 Q3SXZ7
Q92989 P32298 Q9NPJ1 P61224 P22314
O94983 P08631 Q9HBH9 Q15907 Q15029
Q8TDI0 P62805 O14733 P0C0E4 Q8TBC4
Q7L1S5 P48637 Q9BT17 Q92900 Q8IYT8
Q9HAZ1 Q9Y450 O15439 Q6NUM9 P21796
Q9Y259 Q9BYK8 Q96J65 P10276 O75385
Q9NRB3 P49773 P20585 P01112 O43314
Q7LFX5 Q9P1Z3 Q9Y2G1 P01116 P30530
Q9Y6Y1 Q9H422 P33527 Q8WXH6 Q6PHR2
P49759 Q00839 O15440 Q9UBK7 Q8NBZ7
P49760 P20823 Q5T3U5 Q8TC12 Q99986
Q9H078 Q14527 P52701 Q8TAI7 Q9BYP7
Q14028 P17096 Q9H4K7 P35250 O75351
Q96CD2 Q9UGU5 O75648 P48378 Q9H4A3
A5YM72 Q9Y663 P35580 Q8NBN7 Q9Y3S1
O43186 Q3SXM5 P35749 P40937 P35968
Q49AN0 P09429 Q86UW6 P48380 Q6PFW1
P68400 O15347 B0I1T2 Q15382 O75717
P41240 Q8IX15 Q9ULV0 P08134 Q9UN37
Q13363 Q9BPY8 B2RTY4 P57078 Q86Y07
Q8IWT3 P0DMV9 Q9H0A0 P61586 Q9NZC7
P19784 P26583 P35579 Q99578 A3KMH1
O14936 P34931 O00159 Q9UBZ9 O75063
O14529 P17066 O94832 P15927 Q14191
Q16526 Q86Z02 Q13402 P35251 O75695
P07333 Q6NT76 Q9Y623 P35249 Q9H6S0
O14578 Q9ULV5 Q9UJ70 P22670 Q9C0A1
P04839 Q9NYD6 A7E2Y1 O00212 Q15911
P39880 P51553 Q9UM54 Q15669 Q9H4I2
Q92841 P11142 Q9NX02 P17081 P43403
Q9UHI6 Q9UPZ9 Q9UHQ9 Q7L0Q8 Q9Y6X8
Q5T1V6 Q2VIR3 O94916 O94762 Q5FWF4
Q9Y6G9 P41091 P08651 Q96D21 Q8IYH5
O15075 Q03933 P20591 Q13546 Q96TA2
Q86XP3 P54652 P20592 O94844 P37275
Q9NXZ2 O60841 Q9Y2K3 P62745 O60315
Q7L014 P0DMV8 Q8WX94 P84095 Q9UKY1
Q8NHQ9 P31276 Q8IVL1 Q9BYZ6 Q86UP3
Q9NY93 P12268 Q9UHB4 O43353 O43167
O95786 P09629 O95644 Q9ULI2
