Q96524 F4KF14 Q94KL5 P55826 Q9FLW0
Q9FLT5 Q9LVW2 O22932 Q38937 Q9LV48
Q9M1C7 O49595 Q5XF33 Q9SN68 O49562
Q01593 Q9SGS2 Q9FI56 P41916 Q9MAC9
Q9SZE1 Q43386 Q9SUL7 Q7G1L2 Q8W1X2
Q9FKF2 P27323 Q9C562 Q9SW63 Q9FFW5
Q9C8H1 Q42525 Q9SEZ7 P28185 Q9M076
Q8RXN0 P41151 Q9LP51 Q38922 Q7X9V2
Q9C8K2 Q8LDF9 O80902 Q6J9S1 Q5YGP8
Q9SKX0 P55737 Q8W1D5 P28187 Q9S775
Q7FB56 Q9SIF2 Q8LF80 P92978 O64682
Q9LSJ6 Q8RWZ3 Q8VYJ7 Q9SMR4 Q9C6T1
O80946 P93834 Q9ZUL5 Q9SK03 Q8S9J1
Q9C8T1 Q8VZG2 Q94BR5 P82280 Q5YGP7
Q9LFG8 Q9LPS1 Q9LYQ8 Q9SL02 P83483
Q7XA72 Q8LPJ5 Q2V452 P28186 P48731
Q9LSJ2 P41376 Q9LEU7 Q8LC30 P46668
Q9FUT3 Q9SA34 O65554 Q8H1E4 P83484
Q9S725 Q56XE8 Q9MAM1 P42736 O64629
Q9SMT7 Q9SCT4 Q93Z18 Q9FJR0 Q9M077
Q9SH69 F4J6F6 Q9SXJ7 Q9FME0 Q38897
Q9FFR3 P41377 P42762 Q38912 P46667
Q9M2V6 Q9CAI7 Q9STV4 Q38919 Q8RWU4
Q9LSJ5 Q9C5S2 O22971 P41917 Q94F62
Q3EDJ0 Q9SUG3 P92937 P10896 Q1PFD1
Q9ZR72 O80568 Q9FJ55 Q9SD82 Q9SW80
Q9M3B9 Q9FK35 Q9FJ54 Q9FNM7 Q9SIW1
Q9M1Q9 Q93YN9 Q9LDI3 Q93ZG7 Q9M2Z1
Q93YS4 O81893 P42730 Q9SQV1 Q9FWS9
Q3E9B8 O82514 Q9LF37 Q9LH76 O49545
Q9LVM1 Q93VJ2 Q9FY74 Q9LPG6 Q9SJ56
Q9ZUT0 Q8RWY3 Q6NPP4 Q8H136 O65685
Q9LFH0 Q9SBA5 Q8GSA7 P47924 Q9LZM8
Q9M0D0 Q9FKP4 Q9LHE4 Q6NLQ7 O65440
Q7PC81 Q9LX99 Q8LPI7 Q8LA13 O49397
Q9STT8 P42158 O23463 Q9SYM5 P46897
Q7DM58 Q9SWG0 Q9LSP8 Q9CAM7 Q940D0
Q8LPT1 P48001 Q9FIL7 Q9M2F9 P92549
Q9CAF5 Q9FPQ8 Q9FYG2 Q9FN89 Q9ZPY9
Q9LK62 P46640 Q8VZJ9 Q9LVI6 Q11207
Q8LPK0 Q9LDN0 O49564 Q9FFH1 Q93V99
Q9M0M2 P46639 Q9LDT0 Q8W4J9 Q9M7Q7
Q8H1R4 Q84JS6 Q9LDN1 Q42484 Q84WU8
Q9M3D6 P92958 Q9XEC7 O64973 Q8VZI8
Q94FB9 P48000 Q9CAL2 F4HY56 Q8L743
Q9XF19 P42818 Q9FNE1 Q8L840 Q8VYG2
Q9M0G9 Q38997 Q9C5S8 Q39214 Q9M092
Q8RY46 Q8L7Y8 Q9M9Y8 Q9M667 Q9SJK6
Q8LPQ6 P48002 Q9ZP16 Q9FT70 Q9C5T3
Q94A18 P43288 Q0PW40 Q9SJT1 Q93WU9
Q6NLC1 Q9SJD4 Q8L710 Q9LK36 O04292
Q9FLT4 Q940B8 O65472 Q8GYD9 Q9FXD6
Q9MAH4 Q39011 Q8W4G6 Q9SKB2 Q9ZWJ9
Q9FLT8 Q38933 Q8RX80 Q39203 Q07970
Q9C7F8 Q9CAP8 Q9LMB9 O04130 Q8LAH7
Q9LZJ5 Q9M9L8 O65479 O81905 Q8GYB8
Q9M2V7 F4I3V3 Q6NQ87 Q8RWZ5 Q9SGW8
Q9LK50 Q00958 O64817 D8WUA4 Q9FUP0
Q9FT51 P93655 O65476 Q01474 O82533
Q84K47 Q9M9L7 Q8GWJ7 O82663 Q9M0V6
Q8LPJ4 F4HQ17 Q3E9X6 Q9ZPX5 Q42545
O81016 F4KA50 Q9T0J1 Q9SYI0 Q9FKW6
Q7PC86 F4HQ23 Q8S9L6 Q9XIC7 Q9C9L5
Q9XIE2 Q9SJF1 Q9LDS6 Q9XGX0 Q9S9M5
Q7PC84 Q9S7U9 Q9LDQ3 Q8L607 Q9S9M2
Q1PEH6 Q39008 Q9SYS7 O24629 Q8RY17
Q9SYI2 Q9SFB6 Q8L7G3 P52839 C0LGH2
O80725 Q9LFH9 O65483 Q9SKG5 O04567
Q9M1H3 P0C5E2 Q9LYU7 Q9M1T1 Q944A7
Q9STT7 F4HQ22 Q9ASQ5 Q9M8S6 Q9FHD7
Q9LV93 D7SFH9 Q8GYA4 Q9C9C9 Q8RYC8
Q9STT6 Q94CK9 Q8H199 Q9FII7 Q9C8N9
Q9FNB5 Q9SHS8 O65482 Q8L7L1 Q9LP07
Q8LGU1 Q94A06 O65405 Q9SYX2 Q9SZX3
P06525 Q9FF31 Q9LDM5 Q9FJL0 Q9ZPX1
Q9LYS2 F4KA51 Q9XEC8 Q9FZ80 O04291
Q8LEF6 F4HQ20 Q9SYS3 Q39192 Q66GP9
Q9FWX8 Q3ECH2 Q9LZU4 Q39193 Q9SB48
Q9C7F2 Q9LSR8 O65468 Q9SD40 Q9SLG0
Q9C6W5 Q9M9E0 Q9FIU5 Q9LQZ5 P18616
Q9LSJ8 Q9C6K9 Q08467 F4KH89 Q9M8Z5
Q9FJH6 Q8VYG0 Q08466 Q56YN8 Q9C923
Q0WML0 Q9LJD8 O64816 Q9LUL4 Q9S7E4
Q9FF46 Q9LV58 P27450 Q940H6 Q9S9P8
Q9LZB8 Q9SJI8 Q9M0X5 P43292 Q9SCZ4
Q8LPK2 O22042 Q9CAL3 Q38874 Q8W493
Q42093 P93819 Q9XEC6 O22558 Q9FGM0
Q7PC88 Q8RXG3 O23081 Q9C9D0 Q9LXJ0
Q7PC87 Q9FZ36 Q9C5S9 Q9M2U4 Q9LN59
Q8H0V6 Q9LYG3 O80574 Q8RWL6 Q9S9M3
Q7PC83 Q9LPD9 P84634 F2Y4A3 O22176
Q7PC82 Q9FL33 Q93Y16 Q8RWZ1 Q9STX0
Q7GB25 P23686 Q3EBC8 Q9C5P1 Q9ZNT0
Q9FHF1 Q9LXT3 Q38953 Q9C8M9 Q0WNY5
Q9LHK4 Q0WVF5 Q8VYV7 Q9SI19 Q9XI90
Q9SZR9 O80786 Q9SP32 Q9FXH7 O80462
Q8L7L5 Q9FT73 Q9LXW7 P37107 O80623
A1L4X7 Q9LUT2 Q9M5K2 O65517 C6KIE6
Q9SJG4 Q8W3L1 O82497 Q9SJT8 C0LGN2
O22130 F4KAB8 Q9FNY3 Q05153 Q0WTB4
Q8GXB3 P57106 Q8H1F6 F4HW65 O23661
Q9LID6 Q9LKA3 Q9SYS6 Q9C5P4 P93024
Q8LPN5 Q8LCU7 Q8S3C9 F4IHS2 Q9FGV1
Q9LTA2 P43299 Q9SE83 O23627 Q9SKN5
Q9SR17 Q9SJL8 P93835 F4JTP5 Q9ZPY6
Q8GWQ2 Q9ZP06 O82132 Q9C5P0 Q84K00
Q0PGJ6 Q9MBA2 Q9FHI7 Q9LZV4 Q9SKT7
Q9M338 P17562 Q9M5K3 Q9M084 Q9ZNT1
Q96329 Q39023 Q9M0L0 Q9SSK1 Q94BV7
Q940I0 Q9C6D2 P42697 Q9SW96 Q6NPS8
O23620 O24617 Q9LQ55 Q9ZPI1 P33207
O49658 Q9SMV7 Q8LFT2 P38558 O49213
Q9FIR1 Q39024 Q9T0J6 Q9AT00 Q9LMU0
Q9FW44 Q39026 Q9FV70 P38557 Q9MB58
Q9M9R4 O04716 P0DI16 Q9LK35 Q8W035
Q9SB31 Q9LK95 Q84XF3 Q56WH1 Q9C5T4
Q4V3E0 Q9SZP1 F4HPR5 B9DHQ0 Q9SB92
O80834 Q9FE25 Q05762 Q9SLF3 Q9C516
Q38898 F4I460 Q8RWL0 Q9LUS2 Q9C8M5
Q9SCX5 F4IRU3 Q9FNY2 O81283 Q9S9M1
Q56YU0 Q0WPU1 O82133 Q8H0U5 Q9SEI0
Q9SZ70 Q9M2K0 Q9FHJ2 F4IW47 Q9LZV6
Q9LVB0 F4K5J1 Q8LF21 Q9FYK0 Q9SXB8
O49662 F4HXP9 Q9LQK0 Q8RWV0 C0LGJ1
Q9C9K7 F4HYV5 Q9CAI1 O23680 Q9ZQ70
Q9FHM5 Q9C8W9 Q9SVA6 Q6S5G3 Q9LQE8
Q84TF0 Q9LKG8 F4IBE4 P43298 Q84WU6
Q8GXE6 O04017 Q84WD3 Q9LK43 Q9LSD6
O22812 F4HWY6 Q8VZC7 P30182 Q9FKT0
Q9M2S3 F4JIU4 Q8W4H7 Q9M2X3 Q84N64
Q9LZX7 Q9LKB9 Q8GTY0 Q9FJW5 Q38851
Q8VYJ2 F4I5Q6 Q9ZT91 Q9CA28 F4IVR7
O82166 Q9SCL7 Q9LW09 Q9SIT1 F4JM19
Q6DBQ1 Q9FNV8 Q9SSR8 Q8VWK4 F4K0A6
Q38998 Q96276 Q9FNX5 Q6R0E3 Q9LD44
Q8L7G0 Q9LTF7 Q8LSZ4 Q8L7L8 Q9FYK5
O80452 F4IUG9 P0DH99 Q38906 Q9C6I6
Q38914 Q9LHE9 Q9C641 Q9SNB9 Q8VY00
P36397 Q9ZNU2 O23116 Q9C7B1 Q9SAD4
Q9ZTX9 Q9SL41 Q9FNY0 Q9M347 O80340
Q9ZTX8 Q9LR74 Q9LFQ9 Q9FJA2 Q9LMT9
Q9FX25 Q9FWX2 Q9ASR1 B5X582 Q39191
Q93YR9 Q8H1Q2 Q9FV71 O65041 Q8VYA3
Q94JM3 Q9FH59 Q9FPR3 P93028 O04336
Q9XID4 Q9FNV9 Q9STX5 Q9M336 O22921
Q9LQE3 Q38850 Q0WL56 Q9C7W7 Q9C519
Q9C5W9 Q9ZTC3 Q94CF0 O64700 Q9XID3
Q9C7I9 O65508 B3LF48 Q9STX2 Q94A68
Q9C8N7 Q9SPG9 O82653 Q9LZI2 Q9LUL2
P93022 Q9LXV2 F4IW10 Q7X8C5 Q8GXQ3
Q9XED8 Q9SSA1 Q8LDC8 Q9SA25
